"Depto. Destinatário"|"Ano/Mês Encerramento"|"Leadtime SS"|"Cycletime SS"|
"DERCE"|"2017/01"|45.136054|12.489796|
"DERCE"|"2017/02"|46.862500|20.950000|
"DERCE"|"2017/03"|83.246753|43.188312|
"DERCE"|"2017/04"|81.493671|31.367089|
"DERCE"|"2017/05"|44.170588|16.300000|
"DERCE"|"2017/06"|70.512821|35.500000|
"DERCE"|"2017/07"|51.500000|21.067568|
"DERCE"|"2017/08"|58.434524|18.785714|
"DERCE"|"2017/09"|44.590909|21.106061|
"DERCE"|"2017/10"|56.854015|25.693431|
"DERCE"|"2017/11"|56.871212|19.560606|
