"Depto"|"Ano/Mês Encerramento"|"PF Real."|"PF Qualificado"|
"DERCE"|"2017/01"|914.810000|741.610000|
"DERCE"|"2017/02"|1757.070000|1637.220000|
"DERCE"|"2017/03"|1749.720000|1638.070000|
"DERCE"|"2017/04"|1646.260000|1312.410000|
"DERCE"|"2017/05"|1734.290000|1520.840000|
"DERCE"|"2017/06"|3264.310000|3038.460000|
"DERCE"|"2017/07"|2119.610000|1848.450000|
"DERCE"|"2017/08"|2193.620000|1784.970000|
"DERCE"|"2017/09"|821.130000|635.330000|
"DERCE"|"2017/10"|1524.350000|1279.990000|
"DERCE"|"2017/11"|1341.940000|1146.740000|
